A|38048804|3804880400070|Size|7||||||
A|34140113|3414011309999|Size|1 SIZE||||||
A|38048804|3804880400070|Size|7||||||
A|34140113|3414011309999|Size|1 SIZE||||||
A|38048804|3804880400080|Size|8||||||
A|38048804|3804880400090|Size|9||||||
A|38048804|3804880400100|Size|10||||||
A|20272496|2027249600300|Size|M||||||
A|20272496|2027249600300|Size|M||||||
A|20272496|2027249600499|Size|L||||||
A|20121527|2012152700499|Size|L||||||
A|20121527|2012152700499|Size|L||||||
A|32004916|3200491615000|Size|15||||||
A|32004916|3200491615000|Size|15||||||
A|25238523|2523852300040|Size|4||||||
A|32004916|3200491615500|Size|15.5||||||
A|32004916|3200491616000|Size|16||||||
