A|38234937|3823493700095|Size|9.5||||||
A|32005169|3200516915000|Size|15||||||
A|32005169|3200516916000|Size|16||||||
A|32005169|3200516916500|Size|16.5||||||
A|32005169|3200516917000|Size|17||||||
A|59502979|5950297909004|Size|Superking||||||
A|59502979|5950297909004|Size|Superking||||||
A|59502979|5950297909004|Size|Superking||||||
A|32016017|3201601715000|Size|15||||||
A|32016017|3201601715000|Size|15||||||
A|32016017|3201601714000|Size|14||||||
A|32016017|3201601716000|Size|16||||||
A|32016017|3201601717000|Size|17||||||
A|32016191|3201619114000|Size|14||||||
A|32016191|3201619116000|Size|16||||||
A|32016191|3201619117000|Size|17||||||
A|32015046|3201504615000|Size|15||||||
A|32015046|3201504615000|Size|15||||||
A|32015046|3201504616000|Size|16||||||
A|32005232|3200523215500|Size|15.5||||||
A|32017438|3201743815000|Size|15||||||
A|32017438|3201743814000|Size|14||||||
A|32005232|3200523215500|Size|15.5||||||
A|32017438|3201743816000|Size|16||||||
A|32017438|3201743817000|Size|17||||||
A|32005232|3200523216000|Size|16||||||
